Main filter,Sub filter,Sr No,University,Course
Humanities and Social Sciences,-,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,-,2,Paderborn University,Applied Sports Science
Humanities and Social Sciences,-,3,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,-,4,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,-,5,Paderborn University,Education
Humanities and Social Sciences,-,6,Paderborn University,Education
Humanities and Social Sciences,-,7,Paderborn University,Gender Studies
Humanities and Social Sciences,-,8,Paderborn University,Sociology
Humanities and Social Sciences,-,9,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,-,10,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,-,11,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,-,12,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,-,13,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,-,14,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,"Pedagogy, Educational Sciences",1,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences",2,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences",3,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Children's Education",1,Catholic University of Applied Sciences North-Rhine Westphalia,Childhood Pedagogy dual
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Pedagogy, Educational Science",1,Paderborn University,Education
Humanities and Social Sciences,"Pedagogy, Educational Sciences > Pedagogy, Educational Science",2,Paderborn University,Education
Humanities and Social Sciences,Political Sciences,1,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,Political Sciences > International Relations,1,Paderborn University,BeNeLux Studies
Humanities and Social Sciences,"Social Work, Curative Pedagogy",1,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy",2,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy",3,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",1,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",2,Catholic University of Applied Sciences North-Rhine Westphalia,Social Work
Humanities and Social Sciences,"Social Work, Curative Pedagogy > Social Work",3,Catholic University of Applied Sciences North-Rhine Westphalia,"Social Work, degree programme with vocational and academic elements"
Humanities and Social Sciences,Social Sciences,1,Paderborn University,Gender Studies
Humanities and Social Sciences,Social Sciences,2,Paderborn University,Sociology
Humanities and Social Sciences,Social Sciences > Gender Studies,1,Paderborn University,Gender Studies
Humanities and Social Sciences,"Social Sciences > Sociology, Social Science",1,Paderborn University,Gender Studies
Humanities and Social Sciences,"Social Sciences > Sociology, Social Science",2,Paderborn University,Sociology
Humanities and Social Sciences,Sport,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,Sport,2,Paderborn University,Applied Sports Science
Humanities and Social Sciences,Sport > Sport,1,Paderborn University,Applied Sports Science
Humanities and Social Sciences,Sport > Sport Science,1,Paderborn University,Applied Neurosciences in Sports and Exercise
Humanities and Social Sciences,"Theology, Religion",1,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,"Theology, Religion",2,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,"Theology, Religion",3,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,"Theology, Religion > Catholic Religious Pedagogy",1,Catholic University of Applied Sciences North-Rhine Westphalia,Applied Theology
Humanities and Social Sciences,"Theology, Religion > Religious Studies",1,Paderborn University,Theology in Dialogue
Humanities and Social Sciences,"Theology, Religion > Theology",1,Paderborn University,Comparative Theology of Religions
Humanities and Social Sciences,"Theology, Religion > Theology",2,Paderborn University,Theology in Dialogue
Engineering Sciences,-,1,Paderborn University,Additive Manufacturing
Engineering Sciences,-,2,Paderborn University,Chemical Engineering
Engineering Sciences,-,3,Paderborn University,Chemical Engineering
Engineering Sciences,-,4,Paderborn University,Computer Engineering
Engineering Sciences,-,5,Paderborn University,Electrical engineering
Engineering Sciences,-,6,Paderborn University,Electrical engineering
Engineering Sciences,-,7,Paderborn University,Electrical Systems Engineering
Engineering Sciences,-,8,Paderborn University,Industrial engineering
Engineering Sciences,-,9,Paderborn University,Industrial engineering
Engineering Sciences,-,10,Paderborn University,Materials Science
Engineering Sciences,-,11,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,-,12,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,-,13,Paderborn University,Technological mathematics
Engineering Sciences,"Chemical Engineering, Process Technology",1,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology",2,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Chemical Engineering",1,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Chemical Engineering",2,Paderborn University,Chemical Engineering
Engineering Sciences,"Chemical Engineering, Process Technology > Process Technology",1,Paderborn University,Chemical Engineering
Engineering Sciences,Electrical Engineering,1,Paderborn University,Computer Engineering
Engineering Sciences,Electrical Engineering,2,Paderborn University,Electrical engineering
Engineering Sciences,Electrical Engineering,3,Paderborn University,Electrical engineering
Engineering Sciences,Electrical Engineering,4,Paderborn University,Electrical Systems Engineering
Engineering Sciences,Electrical Engineering,5,Paderborn University,Technological mathematics
Engineering Sciences,Electrical Engineering > Electrical Engineering,1,Paderborn University,Computer Engineering
Engineering Sciences,Electrical Engineering > Electrical Engineering,2,Paderborn University,Electrical engineering
Engineering Sciences,Electrical Engineering > Electrical Engineering,3,Paderborn University,Electrical engineering
Engineering Sciences,Electrical Engineering > Electrical Engineering,4,Paderborn University,Electrical Systems Engineering
Engineering Sciences,Electrical Engineering > Electrical Engineering,5,Paderborn University,Technological mathematics
Engineering Sciences,Mechanical Engineering,1,Paderborn University,Additive Manufacturing
Engineering Sciences,Mechanical Engineering,2,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,Mechanical Engineering,3,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,Mechanical Engineering,4,Paderborn University,Technological mathematics
Engineering Sciences,Mechanical Engineering > Manufacturing Engineering,1,Paderborn University,Additive Manufacturing
Engineering Sciences,Mechanical Engineering > Mechanical Engineering,1,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,Mechanical Engineering > Mechanical Engineering,2,Paderborn University,Sustainable Mechanical Engineering
Engineering Sciences,Mechanical Engineering > Mechanical Engineering,3,Paderborn University,Technological mathematics
Engineering Sciences,Mechanical Engineering > Production Engineering,1,Paderborn University,Additive Manufacturing
Engineering Sciences,Materials Science and Engineering,1,Paderborn University,Materials Science
Engineering Sciences,Materials Science and Engineering > Materials Science,1,Paderborn University,Materials Science
Engineering Sciences,Engineering and Management,1,Paderborn University,Industrial engineering
Engineering Sciences,Engineering and Management,2,Paderborn University,Industrial engineering
Engineering Sciences,Engineering and Management > Engineering and Management,1,Paderborn University,Industrial engineering
Engineering Sciences,Engineering and Management > Engineering and Management,2,Paderborn University,Industrial engineering
"Art, Music, Design",-,1,Paderborn University,Art and Teaching Art
"Art, Music, Design",-,2,Paderborn University,Cultures of European Pre-Modern Era
"Art, Music, Design",-,3,Paderborn University,Fashion Textile Design Studies
"Art, Music, Design",-,4,Paderborn University,"Music and Media, popular"
"Art, Music, Design",-,5,Paderborn University,"Music and Media, popular"
"Art, Music, Design",-,6,Paderborn University,Musicology
"Art, Music, Design",-,7,Paderborn University,Musicology
"Art, Music, Design",-,8,Paderborn University,Musicology (dual-subject bachelor’s course)
"Art, Music, Design",-,9,Paderborn University,Musicology (two-subject Master)
"Art, Music, Design",Design,1,Paderborn University,Fashion Textile Design Studies
"Art, Music, Design",Design > Design,1,Paderborn University,Fashion Textile Design Studies
"Art, Music, Design","Art and Design Sciences, Art Pedagogy",1,Paderborn University,Art and Teaching Art
"Art, Music, Design","Art and Design Sciences, Art Pedagogy",2,Paderborn University,Cultures of European Pre-Modern Era
"Art, Music, Design","Art and Design Sciences, Art Pedagogy > Art History",1,Paderborn University,Cultures of European Pre-Modern Era
"Art, Music, Design","Art and Design Sciences, Art Pedagogy > Art Studies",1,Paderborn University,Art and Teaching Art
"Art, Music, Design","Art and Design Sciences, Art Pedagogy > Art Pedagogy",1,Paderborn University,Art and Teaching Art
"Art, Music, Design","Musicology, Music Pedagogy",1,Paderborn University,Musicology
"Art, Music, Design","Musicology, Music Pedagogy",2,Paderborn University,Musicology
"Art, Music, Design","Musicology, Music Pedagogy",3,Paderborn University,Musicology (dual-subject bachelor’s course)
"Art, Music, Design","Musicology, Music Pedagogy > Musicology",1,Paderborn University,Musicology
"Art, Music, Design","Musicology, Music Pedagogy > Musicology",2,Paderborn University,Musicology
"Art, Music, Design","Musicology, Music Pedagogy > Musicology",3,Paderborn University,Musicology (dual-subject bachelor’s course)
"Art, Music, Design",Music,1,Paderborn University,"Music and Media, popular"
"Art, Music, Design",Music,2,Paderborn University,"Music and Media, popular"
"Art, Music, Design",Music,3,Paderborn University,Musicology (two-subject Master)
"Art, Music, Design",Music > Music,1,Paderborn University,Musicology (two-subject Master)
"Art, Music, Design",Music > Popular Music,1,Paderborn University,"Music and Media, popular"
"Art, Music, Design",Music > Popular Music,2,Paderborn University,"Music and Media, popular"
"Mathematics, Natural Sciences",-,1,Paderborn University,Business computing
"Mathematics, Natural Sciences",-,2,Paderborn University,Business computing
"Mathematics, Natural Sciences",-,3,Paderborn University,Chemistry
"Mathematics, Natural Sciences",-,4,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",-,5,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",-,6,Paderborn University,Computer science
"Mathematics, Natural Sciences",-,7,Paderborn University,Computer Science
"Mathematics, Natural Sciences",-,8,Paderborn University,German
"Mathematics, Natural Sciences",-,9,Paderborn University,German
"Mathematics, Natural Sciences",-,10,Paderborn University,German
"Mathematics, Natural Sciences",-,11,Paderborn University,Management Information Systems
"Mathematics, Natural Sciences",-,12,Paderborn University,Materials Sciences
"Mathematics, Natural Sciences",-,13,Paderborn University,Mathematics
"Mathematics, Natural Sciences",-,14,Paderborn University,Mathematics
"Mathematics, Natural Sciences",-,15,Paderborn University,Optoelectronic and Photonics
"Mathematics, Natural Sciences",-,16,Paderborn University,Physics
"Mathematics, Natural Sciences",-,17,Paderborn University,Physics
"Mathematics, Natural Sciences",-,18,Paderborn University,Sustainable Chemistry
"Mathematics, Natural Sciences",-,19,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences",-,20,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences",-,21,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",-,22,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",-,23,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",-,24,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",-,25,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Chemistry,1,Paderborn University,Chemistry
"Mathematics, Natural Sciences",Chemistry,2,Paderborn University,Materials Sciences
"Mathematics, Natural Sciences",Chemistry,3,Paderborn University,Sustainable Chemistry
"Mathematics, Natural Sciences",Chemistry > Chemistry,1,Paderborn University,Chemistry
"Mathematics, Natural Sciences",Chemistry > Chemistry,2,Paderborn University,Materials Sciences
"Mathematics, Natural Sciences",Chemistry > Chemistry,3,Paderborn University,Sustainable Chemistry
"Mathematics, Natural Sciences",Computer Science,1,Paderborn University,Business computing
"Mathematics, Natural Sciences",Computer Science,2,Paderborn University,Business computing
"Mathematics, Natural Sciences",Computer Science,3,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",Computer Science,4,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",Computer Science,5,Paderborn University,Computer science
"Mathematics, Natural Sciences",Computer Science,6,Paderborn University,Computer Science
"Mathematics, Natural Sciences",Computer Science,7,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science,8,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science,9,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science,10,Paderborn University,Management Information Systems
"Mathematics, Natural Sciences",Computer Science,11,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",Computer Science,12,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",Computer Science,13,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science,14,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science,15,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science > Applied Computer Science,1,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",Computer Science > Computer Science,1,Paderborn University,Business computing
"Mathematics, Natural Sciences",Computer Science > Computer Science,2,Paderborn University,Computer science
"Mathematics, Natural Sciences",Computer Science > Computer Science,3,Paderborn University,Computer Science
"Mathematics, Natural Sciences",Computer Science > Computer Science,4,Paderborn University,Management Information Systems
"Mathematics, Natural Sciences",Computer Science > Computer Science,5,University of Business Studies Paderborn,Applied Computer Science
"Mathematics, Natural Sciences",Computer Science > Computer Engineering,1,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",Computer Science > Computer Engineering,2,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",Computer Science > Computer Engineering,3,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science > Computer Engineering,4,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science > Computer Engineering,5,Paderborn University,German
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,1,Paderborn University,Business computing
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,2,Paderborn University,Business computing
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,3,Paderborn University,Management Information Systems
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,4,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,5,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science > Information Systems and Management,6,University of Business Studies Paderborn,Business Informatics
"Mathematics, Natural Sciences",Computer Science > Engineering Informatics,1,Paderborn University,Computer Engineering
"Mathematics, Natural Sciences",Mathematics,1,Paderborn University,Mathematics
"Mathematics, Natural Sciences",Mathematics,2,Paderborn University,Mathematics
"Mathematics, Natural Sciences",Mathematics,3,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences",Mathematics,4,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences",Mathematics > Mathematics,1,Paderborn University,Mathematics
"Mathematics, Natural Sciences",Mathematics > Mathematics,2,Paderborn University,Mathematics
"Mathematics, Natural Sciences",Mathematics > Technomathematics,1,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences",Mathematics > Technomathematics,2,Paderborn University,Technological mathematics
"Mathematics, Natural Sciences","Physics, Astronomy",1,Paderborn University,Optoelectronic and Photonics
"Mathematics, Natural Sciences","Physics, Astronomy",2,Paderborn University,Physics
"Mathematics, Natural Sciences","Physics, Astronomy",3,Paderborn University,Physics
"Mathematics, Natural Sciences","Physics, Astronomy > Physics",1,Paderborn University,Optoelectronic and Photonics
"Mathematics, Natural Sciences","Physics, Astronomy > Physics",2,Paderborn University,Physics
"Mathematics, Natural Sciences","Physics, Astronomy > Physics",3,Paderborn University,Physics
"Medicine, Health Sciences",-,1,Paderborn University,Corporate Health Management
"Medicine, Health Sciences",-,2,Catholic University of Applied Sciences North-Rhine Westphalia,"Marriage, Family and Life Guidance (Master of Counselling)"
"Medicine, Health Sciences",Health and Nursing Sciences,1,Paderborn University,Corporate Health Management
"Medicine, Health Sciences",Health and Nursing Sciences > Health Management,1,Paderborn University,Corporate Health Management
"Medicine, Health Sciences",Therapies,1,Catholic University of Applied Sciences North-Rhine Westphalia,"Marriage, Family and Life Guidance (Master of Counselling)"
"Medicine, Health Sciences","Therapies > Therapies, Miscellaneous",1,Catholic University of Applied Sciences North-Rhine Westphalia,"Marriage, Family and Life Guidance (Master of Counselling)"
Language and Cultural Studies,-,1,Paderborn University,BeNeLux Studies
Language and Cultural Studies,-,2,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,-,3,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,-,4,Paderborn University,Cultures of European Pre-Modern Era
Language and Cultural Studies,-,5,Paderborn University,Digital Humanities
Language and Cultural Studies,-,6,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,-,7,Paderborn University,English Linguistics
Language and Cultural Studies,-,8,Paderborn University,English Linguistics
Language and Cultural Studies,-,9,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,-,10,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,-,11,Paderborn University,European Studies / Études Européennes
Language and Cultural Studies,-,12,Paderborn University,European Studies:
Language and Cultural Studies,-,13,Paderborn University,Gender Studies
Language and Cultural Studies,-,14,Paderborn University,German as a Second and Foreign Language for Career and Specialist Studies (DaZ/DaF)
Language and Cultural Studies,-,15,Paderborn University,German Linguistics
Language and Cultural Studies,-,16,Paderborn University,German Linguistics
Language and Cultural Studies,-,17,Paderborn University,German Literatures
Language and Cultural Studies,-,18,Paderborn University,German Literatures
Language and Cultural Studies,-,19,Paderborn University,History
Language and Cultural Studies,-,20,Paderborn University,History
Language and Cultural Studies,-,21,Paderborn University,Linguistics
Language and Cultural Studies,-,22,Paderborn University,Media Sciences
Language and Cultural Studies,-,23,Paderborn University,Media Sciences
Language and Cultural Studies,-,24,Paderborn University,Media Sciences
Language and Cultural Studies,-,25,Paderborn University,Media Sciences
Language and Cultural Studies,-,26,Paderborn University,"Music and Media, popular"
Language and Cultural Studies,-,27,Paderborn University,Philosophy
Language and Cultural Studies,-,28,Paderborn University,Philosophy
Language and Cultural Studies,-,29,Paderborn University,"Philosophy, practical"
Language and Cultural Studies,-,30,Paderborn University,PopMediaCulture
Language and Cultural Studies,-,31,Paderborn University,Romance Studies / French
Language and Cultural Studies,-,32,Paderborn University,Romance Studies / French
Language and Cultural Studies,-,33,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,-,34,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,-,35,Paderborn University,Sociology
Language and Cultural Studies,-,36,Paderborn University,Theology in Dialogue
Language and Cultural Studies,"English Studies, American Studies",1,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,"English Studies, American Studies",2,Paderborn University,English Linguistics
Language and Cultural Studies,"English Studies, American Studies",3,Paderborn University,English Linguistics
Language and Cultural Studies,"English Studies, American Studies",4,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,"English Studies, American Studies",5,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,"English Studies, American Studies > English Studies",1,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,"English Studies, American Studies > English Studies",2,Paderborn University,English Linguistics
Language and Cultural Studies,"English Studies, American Studies > English Studies",3,Paderborn University,English Linguistics
Language and Cultural Studies,"English Studies, American Studies > English Studies",4,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,"English Studies, American Studies > English Studies",5,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,"English Studies, American Studies > American Studies",1,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,"English Studies, American Studies > American Studies",2,Paderborn University,English Linguistics
Language and Cultural Studies,"English Studies, American Studies > American Studies",3,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,"English Studies, American Studies > American Studies",4,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,German Studies and Contemporary Germanic Languages,1,Paderborn University,German as a Second and Foreign Language for Career and Specialist Studies (DaZ/DaF)
Language and Cultural Studies,German Studies and Contemporary Germanic Languages,2,Paderborn University,German Linguistics
Language and Cultural Studies,German Studies and Contemporary Germanic Languages,3,Paderborn University,German Linguistics
Language and Cultural Studies,German Studies and Contemporary Germanic Languages,4,Paderborn University,German Literatures
Language and Cultural Studies,German Studies and Contemporary Germanic Languages > German as a Foreign Language,1,Paderborn University,German as a Second and Foreign Language for Career and Specialist Studies (DaZ/DaF)
Language and Cultural Studies,German Studies and Contemporary Germanic Languages > German Studies,1,Paderborn University,German Linguistics
Language and Cultural Studies,German Studies and Contemporary Germanic Languages > German Studies,2,Paderborn University,German Linguistics
Language and Cultural Studies,German Studies and Contemporary Germanic Languages > German Studies,3,Paderborn University,German Literatures
Language and Cultural Studies,"History, Ancient Studies",1,Paderborn University,Cultures of European Pre-Modern Era
Language and Cultural Studies,"History, Ancient Studies",2,Paderborn University,History
Language and Cultural Studies,"History, Ancient Studies",3,Paderborn University,History
Language and Cultural Studies,"History, Ancient Studies > History",1,Paderborn University,Cultures of European Pre-Modern Era
Language and Cultural Studies,"History, Ancient Studies > History",2,Paderborn University,History
Language and Cultural Studies,"History, Ancient Studies > History",3,Paderborn University,History
Language and Cultural Studies,Cultural Studies,1,Paderborn University,BeNeLux Studies
Language and Cultural Studies,Cultural Studies,2,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,Cultural Studies,3,Paderborn University,Digital Humanities
Language and Cultural Studies,Cultural Studies,4,Paderborn University,European Studies:
Language and Cultural Studies,Cultural Studies,5,Paderborn University,Gender Studies
Language and Cultural Studies,Cultural Studies,6,Paderborn University,PopMediaCulture
Language and Cultural Studies,Cultural Studies,7,Paderborn University,Sociology
Language and Cultural Studies,Cultural Studies,8,Paderborn University,Theology in Dialogue
Language and Cultural Studies,Cultural Studies > Intercultural Studies,1,Paderborn University,BeNeLux Studies
Language and Cultural Studies,Cultural Studies > Cultural Studies,1,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,Cultural Studies > Cultural Studies,2,Paderborn University,Digital Humanities
Language and Cultural Studies,Cultural Studies > Cultural Studies,3,Paderborn University,European Studies:
Language and Cultural Studies,Cultural Studies > Cultural Studies,4,Paderborn University,Gender Studies
Language and Cultural Studies,Cultural Studies > Cultural Studies,5,Paderborn University,PopMediaCulture
Language and Cultural Studies,Cultural Studies > Cultural Studies,6,Paderborn University,Sociology
Language and Cultural Studies,Cultural Studies > Cultural Studies,7,Paderborn University,Theology in Dialogue
Language and Cultural Studies,Media Studies,1,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies,2,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies,3,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies,4,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies,5,Paderborn University,"Music and Media, popular"
Language and Cultural Studies,Media Studies > Media Studies,1,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies > Media Studies,2,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies > Media Studies,3,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies > Media Studies,4,Paderborn University,Media Sciences
Language and Cultural Studies,Media Studies > Media Studies,5,Paderborn University,"Music and Media, popular"
Language and Cultural Studies,Philosophy,1,Paderborn University,Philosophy
Language and Cultural Studies,Philosophy,2,Paderborn University,Philosophy
Language and Cultural Studies,Philosophy,3,Paderborn University,"Philosophy, practical"
Language and Cultural Studies,Philosophy > Philosophy,1,Paderborn University,Philosophy
Language and Cultural Studies,Philosophy > Philosophy,2,Paderborn University,Philosophy
Language and Cultural Studies,Philosophy > Philosophy,3,Paderborn University,"Philosophy, practical"
Language and Cultural Studies,Regional Studies,1,Paderborn University,European Studies / Études Européennes
Language and Cultural Studies,Regional Studies > European Studies,1,Paderborn University,European Studies / Études Européennes
Language and Cultural Studies,Romance Studies,1,Paderborn University,Romance Studies / French
Language and Cultural Studies,Romance Studies,2,Paderborn University,Romance Studies / French
Language and Cultural Studies,Romance Studies,3,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,Romance Studies,4,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,Romance Studies > French,1,Paderborn University,Romance Studies / French
Language and Cultural Studies,Romance Studies > French,2,Paderborn University,Romance Studies / French
Language and Cultural Studies,Romance Studies > Romance Studies,1,Paderborn University,Romance Studies / French
Language and Cultural Studies,Romance Studies > Romance Studies,2,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,Romance Studies > Spanish,1,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,Romance Studies > Spanish,2,Paderborn University,Romance Studies / Spanish
Language and Cultural Studies,Language and Literary Studies,1,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,Language and Literary Studies,2,Paderborn University,Cultures of European Pre-Modern Era
Language and Cultural Studies,Language and Literary Studies,3,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,Language and Literary Studies,4,Paderborn University,English Linguistics
Language and Cultural Studies,Language and Literary Studies,5,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,Language and Literary Studies,6,Paderborn University,German Linguistics
Language and Cultural Studies,Language and Literary Studies,7,Paderborn University,German Literatures
Language and Cultural Studies,Language and Literary Studies,8,Paderborn University,German Literatures
Language and Cultural Studies,Language and Literary Studies,9,Paderborn University,Linguistics
Language and Cultural Studies,Language and Literary Studies > General Literary Studies,1,Paderborn University,English and American Literary and Cultural Studies
Language and Cultural Studies,Language and Literary Studies > General Literary Studies,2,Paderborn University,English-Language Literature and Culture
Language and Cultural Studies,Language and Literary Studies > General Literary Studies,3,Paderborn University,German Literatures
Language and Cultural Studies,Language and Literary Studies > General Literary Studies,4,Paderborn University,German Literatures
Language and Cultural Studies,Language and Literary Studies > General Linguistic Science,1,Paderborn University,English Linguistics
Language and Cultural Studies,Language and Literary Studies > General Linguistic Science,2,Paderborn University,German Linguistics
Language and Cultural Studies,Language and Literary Studies > General Linguistic Science,3,Paderborn University,Linguistics
Language and Cultural Studies,Language and Literary Studies > Comparative Literary Studies,1,Paderborn University,Comparative Studies - Comparative Literature and Cultural Studies
Language and Cultural Studies,Language and Literary Studies > Comparative Literary Studies,2,Paderborn University,Cultures of European Pre-Modern Era
Language and Cultural Studies,Language and Literary Studies > Comparative Literary Studies,3,Paderborn University,German Literatures
"Economic Sciences, Law",-,1,Paderborn University,Business Administration
"Economic Sciences, Law",-,2,Paderborn University,Business computing
"Economic Sciences, Law",-,3,Paderborn University,Corporate Health Management
"Economic Sciences, Law",-,4,Paderborn University,Economics
"Economic Sciences, Law",-,5,Paderborn University,Economics teaching
"Economic Sciences, Law",-,6,Paderborn University,International Business Studies
"Economic Sciences, Law",-,7,Paderborn University,International Business Studies
"Economic Sciences, Law",-,8,Paderborn University,International Economics and Management
"Economic Sciences, Law",-,9,Paderborn University,Management
"Economic Sciences, Law",-,10,Paderborn University,Management
"Economic Sciences, Law",-,11,Paderborn University,Management
"Economic Sciences, Law",-,12,Paderborn University,Management Information Systems
"Economic Sciences, Law",-,13,Paderborn University,Sports Economics
"Economic Sciences, Law",-,14,Paderborn University,"Taxation, Accounting and Finance"
"Economic Sciences, Law",-,15,University of Business Studies Paderborn,Business Administration
"Economic Sciences, Law",-,16,University of Business Studies Paderborn,Business Administration
"Economic Sciences, Law",-,17,University of Business Studies Paderborn,Business Administration
"Economic Sciences, Law",-,18,University of Business Studies Paderborn,Business Administration
"Economic Sciences, Law",-,19,University of Business Studies Paderborn,International Business Management
"Economic Sciences, Law",-,20,Catholic University of Applied Sciences North-Rhine Westphalia,Social management
